bookmaker,pre_game_key,match_label,start_time,bb_ready,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,William Clyburn,28.5,29+,25.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,William Clyburn,22.5,23+,6.85,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,William Clyburn,26.5,27+,15.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,William Clyburn,18.5,19+,3.6,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,William Clyburn,10.5,11+,1.32,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,MAIN_PROPS,Points,POINTS,Points,Kevin Punter,16.5,,1.98,1.73,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,MAIN_PROPS,Points,POINTS,Points,Chris Jones,7.5,,1.83,1.83,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,23.5,24+,38.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,17.5,18+,8.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,21.5,22+,22.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,19.5,20+,13.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,5.5,6+,1.3,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,15.5,16+,5.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Points,POINTS,Points,Chris Jones,13.5,14+,3.8,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,9.5,10+,12.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,8.5,9+,7.85,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,11.5,12+,35.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,3.5,4+,1.42,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,10.5,11+,20.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,7.5,8+,5.15,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,ALT_PROPS,Rebounds,TR,Rebounds,William Clyburn,5.5,6+,2.52,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,MAIN_PROPS,Points,POINTS,Points,Antonio Blakeney,12.5,,1.98,1.73,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,NO,MAIN_PROPS,Points,POINTS,Points,Elijah Bryant,15.5,,1.98,1.73,True
